HPN,41.07,-73.71,89.8,90.9,88.1,83.0
JFK,40.64,-73.78,86.6,87.1,85.6,81.8
ALB,42.75,-73.8,84.3,87.0,84.0,82.4
BGM,42.21,-75.98,68.5,68.5,80.5,82.5
BUF,42.94,-78.73,85.6,76.2,77.2,80.7
ELM,40.2,-76.35,89.8,85.3,86.1,86.3
ITH,42.49,-76.46,87.3,86.8,83.7,83.5
LGA,40.78,-73.87,84.8,85.4,85.6,80.5
ISP,40.8,-73.1,88.2,86.2,86.4,80.7
SWF,41.5,-74.12,85.7,86.3,84.1,83.6
IAG,43.11,-78.95,87.5,79.5,79.8,81.4
OGS,44.68,-75.47,89.7,91.1,87.1,86.7
PBG,44.65,-73.46,87.0,85.4,88.3,83.7
ROC,43.12,-77.67,90.1,79.1,79.7,82.3
SYR,43.11,-76.12,87.4,83.7,83.9,84.6
ART,39.4,-87.16,84.4,88.7,83.0,82.8
BOS,42.36,-71.01,86.1,82.8,85.3,82.8
ORH,42.27,-71.87,83.6,87.0,83.2,79.4
BED,42.47,-71.28,85.8,89.6,85.8,82.6
EWB,41.68,-70.96,90.2,88.7,87.7,83.6
PVC,42.07,-70.22,87.9,88.0,87.1,82.6
BVY,42.59,-70.92,87.0,89.3,85.1,84.7
LWM,42.72,-71.12,86.2,87.6,83.9,84.1
OWD,42.19,-71.18,89.9,92.7,88.1,86.9
PYM,41.91,-70.73,87.5,88.1,88.2,84.0
BAF,42.16,-72.71,87.5,89.5,86.3,83.3
MHT,42.93,-71.44,84.8,85.9,84.8,81.0
PSM,43.08,-70.82,85.3,85.6,83.8,81.7
ASH,38.83,-81.97,88.8,90.4,87.8,85.0
BDL,41.94,-72.69,88.0,90.6,85.6,82.7
HVN,41.26,-72.89,86.4,91.9,88.4,86.4
GON,41.33,-72.05,84.1,87.9,86.3,83.7
OXC,41.48,-73.14,87.4,90.0,82.1,80.9
BDR,41.16,-73.13,85.1,87.8,86.9,82.7
PVD,41.72,-71.43,85.7,86.4,85.1,82.2
WST,41.35,-71.8,84.6,87.8,85.8,82.5
ACY,39.46,-74.57,90.3,87.2,86.6,83.1
EWR,40.69,-74.18,88.0,88.5,88.0,84.2
TTN,40.28,-74.81,91.5,88.5,89.4,81.9
